brushes,mode,scope,calls_per_step,inclusive_ms_per_step,exclusive_ms_per_step,exclusive_percent
64,inward,MapViewBase::updateActionStates,24.000,0.055258,0.055258,0.223
64,inward,MapWindow::selectionDidChange,3.000,0.170708,0.170708,0.688
64,inward,MapWindow::updateActionState,1.000,0.033358,0.033358,0.135
64,inward,OutlinerEntityPropertyEditor::rebuildPropertyRows,1.000,1.936852,1.723083,6.949
64,inward,OutlinerEntityPropertyEditor::refreshEmbeddedEditors,2.000,0.000716,0.000716,0.003
64,inward,OutlinerEntityPropertyEditor::refreshVisiblePropertyValues,2.000,0.301670,0.301670,1.217
64,inward,OutlinerEntityPropertyEditor::updateFromSelection,1.000,1.945248,0.008396,0.034
64,inward,OutlinerTreeWidget::onDocumentSelectionChanged,3.000,2.316722,0.004620,0.019
64,inward,OutlinerTreeWidget::refreshTreeParents,2.000,4.612793,0.503323,2.030
64,inward,OutlinerTreeWidget::setupTreeItem,131.000,1.401520,1.401520,5.652
64,inward,OutlinerTreeWidget::syncSelectionFromDocument,5.000,5.020052,5.020052,20.244
64,inward,Qt.LayoutRequest,3.000,0.116992,0.116992,0.472
64,inward,Qt.MetaCall,16.000,2.767170,0.821923,3.314
64,inward,Qt.Paint,21.000,8.599076,7.839443,31.613
64,inward,Qt.Polish,7.000,0.510454,0.510454,2.058
64,inward,Qt.PolishRequest,7.000,0.312837,0.016152,0.065
64,inward,Qt.Timer,7.892,1.864035,1.081742,4.362
64,inward,Qt.UpdateRequest,1.000,10.356746,1.757670,7.088
64,inward,RenderView::paintGL,1.000,0.759633,0.001221,0.005
64,inward,RenderView::render,1.000,0.758412,0.012885,0.052
64,inward,ToolBoxConnector::updatePickResult,24.000,0.215563,0.215563,0.869
64,inward,addNodes,1.000,2.527620,0.021563,0.087
64,inward,addNodesAndNotify,1.000,2.110226,0.006757,0.027
64,inward,doSwapNodeContents,2.000,0.343298,0.021289,0.086
64,inward,drag,1.000,9.509744,0.006900,0.028
64,inward,events_and_render,1.000,15.285623,0.395259,1.594
64,inward,frame,1.000,24.797821,0.002455,0.010
64,inward,input.pick,1.000,0.039439,0.039439,0.159
64,inward,notify.selectionDidChange,3.000,2.983397,0.255833,1.032
64,inward,removeNodesAndNotify,1.000,2.548953,0.011775,0.047
64,inward,selectNodes,1.000,0.535086,0.009744,0.039
64,inward,splitBrushesInward,1.000,9.460894,0.021394,0.086
64,inward,splitBrushesOutward,1.000,0.000589,0.000589,0.002
64,inward,updateNodeContents,2.000,0.728225,0.020505,0.083
